26.03.2024 20:37 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 20:37 | Bot | [WARNING] send_post({'name': 'Проверка', 'picture': 'AgACAgIAAxkBAAIBf2YDBHxCmBlvhndY5GoDa9lcrrQZAAJp1zEbpdMYSERvGDAt74wKAQADAgADeQADNAQ', 'content': 'Если вы это читаете - всё работает. Данный пост был отправлен только вам, в целях проверки работы отправки только для определённых пользователей. Пожалуйста, сообщите в ЛС сработало ли это. Спасибо!', 'button1': ['Тестовая кнопка', 'https://animerium.glitch.me'], 'button2': None}, 1423749884)
26.03.2024 20:37 | Bot | [WARNING] send_post({'name': 'Аниме девочка', 'picture': 'AgACAgIAAxkBAAIBX2YDAw43CTIJkCshK6Xo06gGoKJDAAKD1TEboyUYSF3EY73mBLC1AQADAgADeAADNAQ', 'content': 'Здесь аниме девочка', 'button1': ['Кнопка девочки', 'https://anime.com'], 'button2': None}, 1423749884)
26.03.2024 20:37 | Bot | [WARNING] send_post({'name': 'Кот', 'picture': 'AgACAgIAAxkBAAIBPmYDAmYfYxjk3FDWOJLOF6ECrKVyAAIZ1zEboyUYSCsAAbEnb0QhfgEAAwIAA20AAzQE', 'content': 'Это картинка кота', 'button1': ['Кнопка Кота', 'https://cat.com'], 'button2': ['Кнопка кота 2', 'https://cat2.com']}, 1423749884)
26.03.2024 20:37 | Bot | [WARNING] send_post({'name': 'Собака', 'picture': 'AgACAgIAAxkBAAIBSmYDAp5_NchYOsnRKLzgaT6AVIDeAAIx1zEboyUYSKzgOzChMq1hAQADAgADeQADNAQ', 'content': 'Здесь картинка 2 собак', 'button1': ['Кнопка собаки', 'https://dog.com'], 'button2': ['Dog Button 2', 'https://dog2.com']}, 1423749884)
26.03.2024 20:37 | Bot | [WARNING] Новый пользователь: @mrwoon_official
26.03.2024 20:37 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
26.03.2024 20:41 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 20:41 | Bot | [WARNING] Попытка повторого запуска: @mrwoon_official
26.03.2024 20:41 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
26.03.2024 20:49 | Bot | [CRITICAL] Бот отключён
26.03.2024 20:49 | Bot | [INFO] Создание классов и функций..
26.03.2024 20:49 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 20:49 | Bot | [INFO] Запуск бота..
26.03.2024 20:49 | Bot | [INFO] Бот готов к работе
26.03.2024 20:50 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 20:50 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
26.03.2024 20:50 | Bot | [CRITICAL] Бот отключён
26.03.2024 20:50 | Bot | [INFO] Создание классов и функций..
26.03.2024 20:50 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 20:50 | Bot | [INFO] Запуск бота..
26.03.2024 20:50 | Bot | [INFO] Бот готов к работе
26.03.2024 20:52 | Bot | [CRITICAL] Бот отключён
26.03.2024 20:52 | Bot | [INFO] Создание классов и функций..
26.03.2024 20:52 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 20:52 | Bot | [INFO] Запуск бота..
26.03.2024 20:52 | Bot | [INFO] Бот готов к работе
26.03.2024 20:56 | Bot | [CRITICAL] Бот отключён
26.03.2024 20:56 | Bot | [INFO] Создание классов и функций..
26.03.2024 20:56 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 20:56 | Bot | [INFO] Запуск бота..
26.03.2024 20:56 | Bot | [INFO] Бот готов к работе
26.03.2024 20:56 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 20:56 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
26.03.2024 20:58 | Bot | [CRITICAL] Бот отключён
26.03.2024 20:58 | Bot | [INFO] Создание классов и функций..
26.03.2024 20:58 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 20:58 | Bot | [INFO] Запуск бота..
26.03.2024 20:58 | Bot | [INFO] Бот готов к работе
26.03.2024 20:59 | Bot | [CRITICAL] Бот отключён
26.03.2024 20:59 | Bot | [INFO] Создание классов и функций..
26.03.2024 20:59 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 20:59 | Bot | [INFO] Запуск бота..
26.03.2024 20:59 | Bot | [INFO] Бот готов к работе
26.03.2024 20:59 | Bot | [WARNING] send_post({'name': 'Кот', 'picture': 'AgACAgIAAxkBAAIBPmYDAmYfYxjk3FDWOJLOF6ECrKVyAAIZ1zEboyUYSCsAAbEnb0QhfgEAAwIAA20AAzQE', 'content': 'Это картинка кота', 'button1': ['Кнопка Кота', 'https://cat.com'], 'button2': ['Кнопка кота 2', 'https://cat2.com']}, 1423749884)
26.03.2024 20:59 | Bot | [WARNING] send_post({'name': 'Собака', 'picture': 'AgACAgIAAxkBAAIBSmYDAp5_NchYOsnRKLzgaT6AVIDeAAIx1zEboyUYSKzgOzChMq1hAQADAgADeQADNAQ', 'content': 'Здесь картинка 2 собак', 'button1': ['Кнопка собаки', 'https://dog.com'], 'button2': ['Dog Button 2', 'https://dog2.com']}, 1423749884)
26.03.2024 20:59 | Bot | [WARNING] send_post({'name': 'Аниме девочка', 'picture': 'AgACAgIAAxkBAAIBX2YDAw43CTIJkCshK6Xo06gGoKJDAAKD1TEboyUYSF3EY73mBLC1AQADAgADeAADNAQ', 'content': 'Здесь аниме девочка', 'button1': ['Кнопка девочки', 'https://anime.com'], 'button2': None}, 1423749884)
26.03.2024 20:59 | Bot | [WARNING] send_post({'name': 'Проверка', 'picture': 'AgACAgIAAxkBAAIBf2YDBHxCmBlvhndY5GoDa9lcrrQZAAJp1zEbpdMYSERvGDAt74wKAQADAgADeQADNAQ', 'content': 'Если вы это читаете - всё работает. Данный пост был отправлен только вам, в целях проверки работы отправки только для определённых пользователей. Пожалуйста, сообщите в ЛС сработало ли это. Спасибо!', 'button1': ['Тестовая кнопка', 'https://animerium.glitch.me'], 'button2': None}, 1423749884)
26.03.2024 21:16 | Bot | [CRITICAL] Бот отключён
26.03.2024 21:16 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:16 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:16 | Bot | [INFO] Запуск бота..
26.03.2024 21:17 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:17 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:17 | Bot | [INFO] Запуск бота..
26.03.2024 21:17 | Bot | [INFO] Бот готов к работе
26.03.2024 21:17 | Bot | [CRITICAL] Бот отключён
26.03.2024 21:17 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:17 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:17 | Bot | [INFO] Запуск бота..
26.03.2024 21:17 | Bot | [INFO] Бот готов к работе
26.03.2024 21:18 | Bot | [CRITICAL] Бот отключён
26.03.2024 21:18 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:18 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:18 | Bot | [INFO] Запуск бота..
26.03.2024 21:18 | Bot | [INFO] Бот готов к работе
26.03.2024 21:18 | Bot | [CRITICAL] Бот отключён
26.03.2024 21:18 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:18 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:18 | Bot | [INFO] Запуск бота..
26.03.2024 21:18 | Bot | [INFO] Бот готов к работе
26.03.2024 21:18 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 21:20 | Bot | [CRITICAL] Бот отключён
